"Table P2.  Primary Energy Production Estimates in Trillion Btu, 2018 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,Fossil Fuels,,,,,,Nuclear Electric Power,,Renewable Energy,,,,,,Total   ,
,Coal a,,"Natural 
Gas b",,Crude Oil c,,,,Biofuels d,,Wood and Waste e,,Other f,,,
,Trillion Btu,,,,,,,,,,,,,,,
Alabama,370.5,,149.6,,33.6,,412.6,,1.7,,170.1,,105.0,,"1,243.0",
Alaska,13.8,,375.3,,997.4,,0.0,,(s),,7.3,,16.8,,"1,410.6",
Arizona,140.8,,(s),,0.1,,325.1,,6.8,,8.7,,139.5,,621.0,
Arkansas,0.0,,600.4,,28.6,,133.0,,9.5,,85.2,,30.3,,887.1,
California,0.0,,228.9,,965.3,,190.4,,35.5,,130.5,,857.6,,"2,408.2",
Colorado,293.1,,"2,200.0",,"1,014.6",,0.0,,17.2,,15.6,,121.4,,"3,662.0",
Connecticut,0.0,,0.0,,0.0,,176.5,,2.3,,24.3,,11.7,,214.7,
Delaware,0.0,,0.0,,0.0,,0.0,,0.0,,1.4,,2.0,,3.4,
District of Columbia,0.0,,0.0,,0.0,,0.0,,0.0,,0.9,,0.7,,1.6,
Florida,0.0,,1.1,,10.5,,306.5,,1.8,,181.9,,65.7,,567.5,
Georgia,0.0,,0.0,,0.0,,359.3,,17.6,,216.0,,54.9,,647.8,
Hawaii,0.0,,0.0,,0.0,,0.0,,0.5,,5.3,,20.5,,26.3,
Idaho,0.0,,2.1,,0.5,,0.0,,8.1,,36.6,,132.2,,179.5,
Illinois,"1,095.9",,2.5,,48.0,,"1,025.7",,249.3,,19.1,,114.5,,"2,554.9",
Indiana,781.6,,5.3,,9.6,,0.0,,171.5,,35.4,,59.9,,"1,063.2",
Iowa,0.0,,0.0,,0.0,,51.2,,610.7,,20.8,,205.2,,887.9,
Kansas,0.0,,237.5,,198.1,,95.9,,66.6,,8.0,,173.7,,779.7,
Kentucky,955.5,,96.0,,12.9,,0.0,,10.7,,34.6,,43.7,,"1,153.4",
Louisiana,20.4,,"2,920.4",,278.7,,179.3,,0.0,,122.5,,14.8,,"3,536.1",
Maine,0.0,,0.0,,0.0,,0.0,,0.1,,101.7,,52.2,,154.0,
Maryland,30.5,,(s),,0.0,,156.7,,0.0,,23.0,,43.0,,253.1,
Massachusetts,0.0,,0.0,,0.0,,46.4,,0.1,,37.7,,41.4,,125.7,
Michigan,0.0,,95.8,,30.9,,318.7,,49.6,,119.1,,71.5,,685.4,
Minnesota,0.0,,0.0,,0.0,,152.7,,175.5,,78.3,,118.6,,525.1,
Mississippi,32.0,,36.5,,96.7,,72.3,,15.8,,60.0,,4.0,,317.4,
Missouri,5.7,,0.0,,0.5,,111.4,,63.3,,27.8,,36.7,,245.4,
Montana,684.0,,47.7,,122.9,,0.0,,(s),,18.2,,124.3,,997.1,
Nebraska,0.0,,0.5,,11.7,,58.9,,304.1,,5.2,,64.7,,445.1,
Nevada,0.0,,(s),,1.5,,0.0,,0.0,,4.1,,101.6,,107.1,
New Hampshire,0.0,,0.0,,0.0,,105.2,,0.3,,38.2,,17.1,,160.8,
New Jersey,0.0,,0.0,,0.0,,334.4,,0.0,,21.8,,29.2,,385.4,
New Mexico,200.2,,"1,726.3",,"1,420.6",,0.0,,0.0,,13.0,,72.1,,"3,432.2",
New York,0.0,,12.2,,1.3,,448.7,,22.3,,98.8,,325.0,,908.3,
North Carolina,0.0,,0.0,,0.0,,439.9,,0.2,,127.5,,123.9,,691.5,
North Dakota,399.8,,992.2,,"2,633.5",,0.0,,73.4,,2.1,,127.7,,"4,228.6",
Ohio,219.9,,"2,658.4",,132.5,,191.5,,86.3,,57.1,,24.3,,"3,370.1",
Oklahoma,15.1,,"3,419.0",,"1,145.1",,0.0,,4.5,,29.5,,268.1,,"4,881.4",
Oregon,0.0,,0.5,,0.0,,0.0,,7.3,,72.2,,401.8,,481.8,
Pennsylvania,"1,278.1",,"6,576.4",,37.0,,872.7,,23.2,,121.3,,78.6,,"8,987.2",
Rhode Island,0.0,,0.0,,0.0,,0.0,,0.3,,3.6,,2.7,,6.6,
South Carolina,0.0,,0.0,,0.0,,551.2,,0.0,,110.2,,35.0,,696.4,
South Dakota,0.0,,0.5,,7.3,,0.0,,146.8,,3.6,,84.8,,243.0,
Tennessee,5.9,,4.0,,1.2,,378.2,,33.2,,66.7,,96.7,,585.9,
Texas,328.8,,"9,577.7",,"9,181.4",,430.6,,80.6,,84.2,,738.2,,"20,421.4",
Utah,305.3,,327.3,,211.5,,0.0,,0.0,,5.9,,44.4,,894.5,
Vermont,0.0,,0.0,,0.0,,0.0,,0.0,,24.3,,17.2,,41.5,
Virginia,318.9,,117.3,,(s),,305.8,,8.0,,124.1,,26.0,,900.2,
Washington,0.0,,0.0,,0.0,,101.5,,10.0,,117.7,,810.9,,"1,040.2",
West Virginia,"2,468.6",,"2,189.4",,66.3,,0.0,,0.0,,12.3,,33.1,,"4,769.8",
Wisconsin,0.0,,0.0,,0.0,,105.9,,81.9,,103.9,,38.6,,330.3,
Wyoming,"5,316.0",,"1,848.6",,501.9,,0.0,,0.0,,4.9,,46.6,,"7,717.9",
,,,,,,,,,,,,,,,,
Federal Offshore - Gulf of Mexico,—,,"1,126.0",,"3,660.4",,—,,—,,—,,—,,"4,786.4",
