Rank,State,"Total Net Electricity Generation, thousand MWh",Note: Rankings are based on the full source data values.
1,TX,38524
2,FL,20787
3,PA,16521
4,CA,15465
5,IL,12997
6,WA,10691
7,AL,10575
8,GA,9701
9,NC,9409
10,AZ,9350
11,NY,9284
12,LA,8525
13,OH,8061
14,VA,7658
15,SC,7242
16,MI,6781
17,OK,6440
18,IN,5834
19,MS,5194
20,MO,5053
21,WV,4884
22,OR,4875
23,TN,4421
24,KY,4411
25,WI,4292
26,IA,4229
27,NJ,4216
28,KS,4046
29,CO,3911
30,MN,3848
31,AR,3532
32,NV,3185
33,ND,3164
34,NE,2880
35,WY,2880
36,MD,2738
37,CT,2672
38,NM,2539
39,UT,2457
40,MT,1813
41,ID,1650
42,NH,1284
43,SD,1244
44,MA,926
45,ME,865
46,HI,721
47,RI,605
48,AK,476
49,DE,362
50,VT,207
51,DC,7
